date,sales,units_sold,is_promotion,is_holiday_season
2022-01-01,1106.87,23,0,0
2022-01-02,1088.12,24,0,0
2022-01-03,910.27,21,0,0
2022-01-04,884.89,19,0,0
2022-01-05,851.13,21,0,0
2022-01-06,805.57,18,0,0
2022-01-07,1062.75,23,0,0
2022-01-08,1029.65,22,0,0
2022-01-09,1045.58,24,0,0
2022-01-10,888.07,19,0,0
2022-01-11,936.06,21,0,0
2022-01-12,882.29,19,0,0
2022-01-13,814.74,18,0,0
2022-01-14,1109.03,24,0,0
2022-01-15,1151.7,26,0,0
2022-01-16,1055.31,22,0,0
2022-01-17,866.45,18,0,0
2022-01-18,874.48,19,0,0
2022-01-19,841.06,18,0,0
2022-01-20,905.46,20,0,0
2022-01-21,1091.72,24,0,0
2022-01-22,1123.57,24,0,0
2022-01-23,1053.72,21,0,0
2022-01-24,864.56,19,0,0
2022-01-25,917.69,19,0,0
2022-01-26,871.01,18,0,0
2022-01-27,966.24,20,0,0
2022-01-28,1091.93,22,0,0
2022-01-29,1129.19,24,0,0
2022-01-30,1171.32,24,0,0
2022-01-31,833.7,18,0,0
2022-02-01,820.22,17,0,0
2022-02-02,832.73,17,0,0
2022-02-03,960.67,21,0,0
2022-02-04,1101.0,24,0,0
2022-02-05,1280.16,27,0,0
2022-02-06,1105.67,24,0,0
2022-02-07,920.9,19,0,0
2022-02-08,985.3,20,0,0
2022-02-09,1009.08,21,0,0
2022-02-10,1014.21,21,0,0
2022-02-11,1221.9,25,0,0
2022-02-12,1214.45,24,0,0
2022-02-13,1192.66,27,0,0
2022-02-14,1661.52,35,1,0
2022-02-15,905.96,19,0,0
2022-02-16,895.93,18,0,0
2022-02-17,936.54,20,0,0
2022-02-18,1164.09,25,0,0
2022-02-19,1150.65,23,0,0
2022-02-20,1221.71,26,0,0
2022-02-21,1613.26,34,1,0
2022-02-22,953.98,20,0,0
2022-02-23,1022.84,21,0,0
2022-02-24,900.65,19,0,0
2022-02-25,1185.79,26,0,0
2022-02-26,1741.22,35,1,0
2022-02-27,1091.89,21,0,0
2022-02-28,962.21,19,0,0
2022-03-01,963.11,20,0,0
2022-03-02,1045.37,21,0,0
2022-03-03,1005.41,20,0,0
2022-03-04,1159.32,23,0,0
2022-03-05,1339.09,27,0,0
2022-03-06,1304.12,27,0,0
2022-03-07,1014.86,20,0,0
2022-03-08,977.87,19,0,0
2022-03-09,944.4,18,0,0
2022-03-10,976.4,19,0,0
2022-03-11,1315.22,26,0,0
2022-03-12,1368.88,27,0,0
2022-03-13,1351.52,26,0,0
2022-03-14,982.12,20,0,0
2022-03-15,953.18,20,0,0
2022-03-16,1019.81,20,0,0
2022-03-17,925.86,18,0,0
2022-03-18,1293.9,26,0,0
2022-03-19,1267.64,26,0,0
2022-03-20,1250.97,25,0,0
2022-03-21,945.71,19,0,0
2022-03-22,1057.12,21,0,0
2022-03-23,1006.12,20,0,0
2022-03-24,976.02,19,0,0
2022-03-25,1112.94,22,0,0
2022-03-26,1301.54,26,0,0
2022-03-27,1422.9,28,0,0
2022-03-28,1135.77,23,0,0
2022-03-29,1027.62,20,0,0
2022-03-30,1022.89,19,0,0
2022-03-31,1082.42,22,0,0
2022-04-01,1259.57,26,0,0
2022-04-02,1349.53,28,0,0
2022-04-03,1384.24,29,0,0
2022-04-04,1135.1,23,0,0
2022-04-05,1067.07,22,0,0
2022-04-06,1064.42,22,0,0
2022-04-07,1617.91,32,1,0
2022-04-08,1295.64,25,0,0
2022-04-09,1339.79,28,0,0
2022-04-10,1383.71,26,0,0
2022-04-11,1139.66,22,0,0
2022-04-12,1048.85,20,0,0
2022-04-13,1177.34,24,0,0
2022-04-14,1083.51,21,0,0
2022-04-15,1375.05,29,0,0
2022-04-16,1328.45,26,0,0
2022-04-17,1215.79,24,0,0
2022-04-18,2035.3,40,1,0
2022-04-19,1153.26,24,0,0
2022-04-20,1099.31,23,0,0
2022-04-21,1121.43,22,0,0
2022-04-22,1436.58,30,0,0
2022-04-23,1294.09,26,0,0
2022-04-24,1369.83,29,0,0
2022-04-25,1173.05,23,0,0
2022-04-26,1059.9,22,0,0
2022-04-27,1150.01,23,0,0
2022-04-28,1058.86,21,0,0
2022-04-29,1456.19,30,0,0
2022-04-30,1423.56,28,0,0
2022-05-01,1313.74,26,0,0
2022-05-02,1212.46,25,0,0
2022-05-03,1105.96,23,0,0
2022-05-04,1103.88,24,0,0
2022-05-05,1164.37,23,0,0
2022-05-06,1526.81,33,0,0
2022-05-07,1373.24,28,0,0
2022-05-08,1453.98,30,0,0
2022-05-09,1186.72,24,0,0
2022-05-10,1204.31,25,0,0
2022-05-11,1176.39,24,0,0
2022-05-12,1146.76,23,0,0
2022-05-13,1402.3,28,0,0
2022-05-14,1471.67,30,0,0
2022-05-15,1389.16,28,0,0
2022-05-16,1004.42,22,0,0
2022-05-17,1203.87,24,0,0
2022-05-18,1233.36,25,0,0
2022-05-19,1042.24,22,0,0
2022-05-20,1404.89,29,0,0
2022-05-21,1527.67,32,0,0
2022-05-22,1636.61,34,0,0
2022-05-23,1190.08,24,0,0
2022-05-24,1147.16,23,0,0
2022-05-25,1181.19,24,0,0
2022-05-26,1275.71,28,0,0
2022-05-27,1445.72,30,0,0
2022-05-28,1436.05,29,0,0
2022-05-29,1461.46,30,0,0
2022-05-30,1142.31,23,0,0
2022-05-31,1208.2,24,0,0
2022-06-01,1299.8,26,0,0
2022-06-02,1222.85,26,0,0
2022-06-03,1486.78,30,0,0
2022-06-04,1485.26,31,0,0
2022-06-05,1390.75,29,0,0
2022-06-06,1261.36,27,0,0
2022-06-07,1204.36,24,0,0
2022-06-08,1199.14,26,0,0
2022-06-09,1404.35,29,0,0
2022-06-10,1537.52,32,0,0
2022-06-11,1458.98,33,0,0
2022-06-12,1484.65,31,0,0
2022-06-13,1284.09,30,0,0
2022-06-14,1221.96,26,0,0
2022-06-15,1128.32,24,0,0
2022-06-16,1272.28,28,0,0
2022-06-17,1470.38,32,0,0
2022-06-18,1664.41,34,0,0
2022-06-19,1604.69,35,0,0
2022-06-20,1191.17,27,0,0
2022-06-21,1296.88,27,0,0
2022-06-22,1223.3,25,0,0
2022-06-23,1271.46,28,0,0
2022-06-24,1561.6,33,0,0
2022-06-25,1460.37,31,0,0
2022-06-26,1476.02,33,0,0
2022-06-27,1283.03,29,0,0
2022-06-28,1199.83,25,0,0
2022-06-29,1195.64,25,0,0
2022-06-30,1161.97,25,0,0
2022-07-01,1557.51,36,0,0
2022-07-02,1682.32,35,0,0
2022-07-03,1443.45,33,0,0
2022-07-04,1221.13,28,0,0
2022-07-05,1305.49,29,0,0
2022-07-06,1214.23,26,0,0
2022-07-07,1246.29,27,0,0
2022-07-08,1442.01,32,0,0
2022-07-09,1554.95,34,0,0
2022-07-10,1507.5,34,0,0
2022-07-11,1276.82,28,0,0
2022-07-12,1288.48,32,0,0
2022-07-13,1373.04,31,0,0
2022-07-14,1250.18,28,0,0
2022-07-15,1542.54,37,0,0
2022-07-16,1531.61,34,0,0
2022-07-17,1489.09,34,0,0
2022-07-18,1232.35,27,0,0
2022-07-19,1193.07,26,0,0
2022-07-20,1220.21,28,0,0
2022-07-21,1288.7,30,0,0
2022-07-22,1434.04,33,0,0
2022-07-23,1594.7,37,0,0
2022-07-24,1606.61,37,0,0
2022-07-25,1197.62,29,0,0
2022-07-26,1075.86,26,0,0
2022-07-27,1165.79,27,0,0
2022-07-28,1278.96,29,0,0
2022-07-29,1498.0,36,0,0
2022-07-30,1423.19,32,0,0
2022-07-31,1458.56,35,0,0
2022-08-01,1245.9,29,0,0
2022-08-02,1226.84,28,0,0
2022-08-03,1178.46,28,0,0
2022-08-04,1169.33,27,0,0
2022-08-05,1457.9,35,0,0
2022-08-06,1416.55,34,0,0
2022-08-07,1602.78,38,0,0
2022-08-08,1165.65,28,0,0
2022-08-09,1255.04,30,0,0
2022-08-10,1271.17,32,0,0
2022-08-11,1238.43,30,0,0
2022-08-12,1440.43,35,0,0
2022-08-13,1499.6,36,0,0
2022-08-14,1465.83,35,0,0
2022-08-15,1119.24,27,0,0
2022-08-16,1189.27,28,0,0
2022-08-17,1099.47,26,0,0
2022-08-18,1235.65,31,0,0
2022-08-19,1421.67,36,0,0
2022-08-20,1467.57,37,0,0
2022-08-21,1470.94,36,0,0
2022-08-22,1143.25,28,0,0
2022-08-23,1190.07,30,0,0
2022-08-24,1126.63,29,0,0
2022-08-25,1202.07,30,0,0
2022-08-26,1340.43,32,0,0
2022-08-27,1443.48,35,0,0
2022-08-28,1570.46,39,0,0
2022-08-29,1085.93,27,0,0
2022-08-30,1102.2,28,0,0
2022-08-31,1167.85,29,0,0
2022-09-01,1146.51,29,0,0
2022-09-02,1442.36,35,0,0
2022-09-03,1449.22,38,0,0
2022-09-04,1456.51,36,0,0
2022-09-05,1189.55,29,0,0
2022-09-06,1147.71,28,0,0
2022-09-07,1108.75,25,0,0
2022-09-08,1157.57,28,0,0
2022-09-09,1529.58,39,0,0
2022-09-10,1384.64,34,0,0
2022-09-11,1323.09,35,0,0
2022-09-12,1171.72,29,0,0
2022-09-13,1101.16,28,0,0
2022-09-14,985.31,24,0,0
2022-09-15,1149.68,29,0,0
2022-09-16,1338.79,33,0,0
2022-09-17,1366.33,35,0,0
2022-09-18,1392.2,33,0,0
2022-09-19,1103.52,28,0,0
2022-09-20,1129.33,26,0,0
2022-09-21,1064.48,26,0,0
2022-09-22,1113.56,27,0,0
2022-09-23,1336.48,33,0,0
2022-09-24,1400.87,34,0,0
2022-09-25,1389.35,37,0,0
2022-09-26,1025.52,26,0,0
2022-09-27,1131.67,27,0,0
2022-09-28,1875.37,47,1,0
2022-09-29,1111.65,29,0,0
2022-09-30,1357.02,34,0,0
2022-10-01,1451.69,34,0,0
2022-10-02,1311.64,31,0,0
2022-10-03,1040.26,26,0,0
2022-10-04,1055.31,25,0,0
2022-10-05,1037.96,26,0,0
